batch_k,candidates,survivors,survivor_n,is_prime
3098,2101514,86,80188246034521,False
3098,2101514,86,80192795131849,False
3098,2101514,86,80174098092001,False
3098,2101514,86,80196341368081,False
3098,2101514,86,80191147412401,False
3098,2101514,86,80180330196409,False
3098,2101514,86,80197380179401,False
3096,2101514,98,80122925201881,False
3096,2101514,98,80134347264841,False
3096,2101514,98,80139503572489,False
3096,2101514,98,80135385674569,False
3096,2101514,98,80120812746529,False
3096,2101514,98,80121851068561,False
3096,2101514,98,80142618922081,False
3096,2101514,98,80132807566249,False
3096,2101514,98,80141114952649,False
3096,2101514,98,80135851170769,False
3096,2101514,98,80121314004601,False
3096,2101514,98,80135922785689,False
3096,2101514,98,80125538956369,False
3096,2101514,98,80127544057201,False
3096,2101514,98,80122423938769,False
3096,2101514,98,80123462271241,False
3096,2101514,98,80143478339521,False
3096,2101514,98,80132055625801,False
3096,2101514,98,80128295976481,False
3096,2101514,98,80143872240721,False
3096,2101514,98,80144516808409,False
3096,2101514,98,80130372724249,False
3096,2101514,98,80127902113561,False
3096,2101514,98,80128940481529,False
3096,2101514,98,80132914986601,False
3096,2101514,98,80122531352161,False
3096,2101514,98,80138107056121,False
3096,2101514,98,80123569685329,False
3096,2101514,98,80139897463921,False
3096,2101514,98,80135743748449,False
3096,2101514,98,80124357390841,False
3096,2101514,98,80144087096329,False
3096,2101514,98,80143263484729,False
3096,2101514,98,80141186569921,False
3096,2101514,98,80134741143601,False
3096,2101514,98,80130802399561,False
3096,2101514,98,80139933272281,False
3096,2101514,98,80142583113121,False
3096,2101514,98,80130229499401,False
3096,2101514,98,80126076034489,False
3096,2101514,98,80138429328049,False
3096,2101514,98,80136459898609,False
3096,2101514,98,80130122080849,False
3096,2101514,98,80132198852281,False
3096,2101514,98,80140219739449,False
3096,2101514,98,80132700145969,False
3096,2101514,98,80140112314201,False
3096,2101514,98,80131661753641,False
3096,2101514,98,80126469892921,False
3096,2101514,98,80135815363321,False
3096,2101514,98,80126147645041,False
3096,2101514,98,80137569937681,False
3096,2101514,98,80124858660001,False
3096,2101514,98,80140685249689,False
3096,2101514,98,80125109295169,False
3096,2101514,98,80135636326201,False
3096,2101514,98,80136674744281,False
3096,2101514,98,80136137630641,False
3096,2101514,98,80146020809761,False
3096,2101514,98,80135099216041,False
3096,2101514,98,80121099179521,False
3096,2101514,98,80127329223769,False
3096,2101514,98,80124214171369,False
3096,2101514,98,80141759509249,False
3096,2101514,98,80124106756849,False
3096,2101514,98,80142475686289,False
3096,2101514,98,80138321904001,False
3096,2101514,98,80135206637929,False
3096,2101514,98,80123068420201,False
3096,2101514,98,80133452089441,False
3096,2101514,98,80136567321409,False
3096,2101514,98,80133129827521,False
3096,2101514,98,80141831126809,False
3096,2101514,98,80127866307889,False
3096,2101514,98,80134562107681,False
3096,2101514,98,80123140029409,False
3096,2101514,98,80138715792529,False
3096,2101514,98,80125216710361,False
3096,2101514,98,80137211859721,False
3096,2101514,98,80131124656801,False
3096,2101514,98,80137355090809,False
3096,2101514,98,80124894465001,False
3096,2101514,98,80120920158841,False
3096,2101514,98,80141508848041,False
3096,2101514,98,80125932813481,False
3096,2101514,98,80140470398641,False
3096,2101514,98,80133595317169,False
3096,2101514,98,80144409380281,False
3096,2101514,98,80125288320529,False
3096,2101514,98,80135063408761,False
3096,2101514,98,80130909818569,False
3096,2101514,98,80140255547881,False
3096,2101514,98,80130480142969,False
3096,2101514,98,80140864292449,False
3096,2101514,98,80146486336849,False
3096,2101514,98,80122602961129,False
3096,2101514,98,80127365029321,False
3096,2101514,98,80142941203081,False
3099,2101514,92,80207052193921,False
3099,2101514,92,80211171932761,False
3099,2101514,92,80199744395761,False
3099,2101514,92,80214288675049,False
3099,2101514,92,80201822069209,False
3099,2101514,92,80204938629841,False
3099,2101514,92,80215900806889,False
3099,2101514,92,80222134535761,False
3099,2101514,92,80211673473409,False
3099,2101514,92,80203434075769,False
3099,2101514,92,80213822951089,False
3099,2101514,92,80215148476681,False
3099,2101514,92,80205153567289,False
3099,2101514,92,80218659381169,False
3099,2101514,92,80205798381361,False
3099,2101514,92,80209953912001,False
3099,2101514,92,80212425787321,False
3099,2101514,92,80201177271121,False
3099,2101514,92,80203541543449,False
3099,2101514,92,80204580401401,False
3099,2101514,92,80217047221609,False
3099,2101514,92,80209524024529,False
3099,2101514,92,80224069190521,False
3099,2101514,92,80205583443049,False
3099,2101514,92,80203290785641,False
3099,2101514,92,80214360325009,False
3099,2101514,92,80198669747641,False
3099,2101514,92,80208126898201,False
3099,2101514,92,80207088017281,False
3099,2101514,92,80219447553961,False
3099,2101514,92,80200854873049,False
3099,2101514,92,80208019427449,False
3099,2101514,92,80219555032369,False
3099,2101514,92,80212569085609,False
3099,2101514,92,80205655089121,False
3099,2101514,92,80204616224209,False
3099,2101514,92,80221238870161,False
3099,2101514,92,80218121992849,False
3099,2101514,92,80202538514569,False
3099,2101514,92,80220092425489,False
3099,2101514,92,80208664253041,False
